Loss type: cross_entropy | Epoch 1/10 | Train Loss: 0.2708 | Val Loss: 0.1312 | Val Acc: 0.9590
Loss type: cross_entropy | Epoch 2/10 | Train Loss: 0.1132 | Val Loss: 0.0973 | Val Acc: 0.9688
Loss type: cross_entropy | Epoch 3/10 | Train Loss: 0.0795 | Val Loss: 0.0923 | Val Acc: 0.9710
Loss type: cross_entropy | Epoch 4/10 | Train Loss: 0.0632 | Val Loss: 0.0985 | Val Acc: 0.9698
Loss type: cross_entropy | Epoch 5/10 | Train Loss: 0.0530 | Val Loss: 0.0822 | Val Acc: 0.9750
Loss type: cross_entropy | Epoch 6/10 | Train Loss: 0.0461 | Val Loss: 0.1019 | Val Acc: 0.9712
Loss type: cross_entropy | Epoch 7/10 | Train Loss: 0.0400 | Val Loss: 0.0827 | Val Acc: 0.9755
Loss type: cross_entropy | Epoch 8/10 | Train Loss: 0.0361 | Val Loss: 0.0939 | Val Acc: 0.9733
Loss type: cross_entropy | Epoch 9/10 | Train Loss: 0.0344 | Val Loss: 0.0866 | Val Acc: 0.9760
Loss type: cross_entropy | Epoch 10/10 | Train Loss: 0.0297 | Val Loss: 0.0954 | Val Acc: 0.9760
