Loss type: cross_entropy | Epoch 1/10 | Train Loss: 0.8352 | Val Loss: 0.3696 | Val Acc: 0.8988
Loss type: cross_entropy | Epoch 2/10 | Train Loss: 0.2797 | Val Loss: 0.1920 | Val Acc: 0.9478
Loss type: cross_entropy | Epoch 3/10 | Train Loss: 0.1662 | Val Loss: 0.1460 | Val Acc: 0.9570
Loss type: cross_entropy | Epoch 4/10 | Train Loss: 0.1231 | Val Loss: 0.1206 | Val Acc: 0.9650
Loss type: cross_entropy | Epoch 5/10 | Train Loss: 0.0989 | Val Loss: 0.1170 | Val Acc: 0.9660
Loss type: cross_entropy | Epoch 6/10 | Train Loss: 0.0823 | Val Loss: 0.1188 | Val Acc: 0.9660
Loss type: cross_entropy | Epoch 7/10 | Train Loss: 0.0705 | Val Loss: 0.1114 | Val Acc: 0.9673
Loss type: cross_entropy | Epoch 8/10 | Train Loss: 0.0636 | Val Loss: 0.1080 | Val Acc: 0.9707
Loss type: cross_entropy | Epoch 9/10 | Train Loss: 0.0537 | Val Loss: 0.1079 | Val Acc: 0.9693
Loss type: cross_entropy | Epoch 10/10 | Train Loss: 0.0483 | Val Loss: 0.1237 | Val Acc: 0.9677
