Loss type: cross_entropy | Epoch 1/10 | Train Loss: 0.6299 | Val Loss: 0.2520 | Val Acc: 0.9307
Loss type: cross_entropy | Epoch 2/10 | Train Loss: 0.2337 | Val Loss: 0.1892 | Val Acc: 0.9493
Loss type: cross_entropy | Epoch 3/10 | Train Loss: 0.1810 | Val Loss: 0.1590 | Val Acc: 0.9552
Loss type: cross_entropy | Epoch 4/10 | Train Loss: 0.1490 | Val Loss: 0.1441 | Val Acc: 0.9593
Loss type: cross_entropy | Epoch 5/10 | Train Loss: 0.1275 | Val Loss: 0.1319 | Val Acc: 0.9643
Loss type: cross_entropy | Epoch 6/10 | Train Loss: 0.1102 | Val Loss: 0.1182 | Val Acc: 0.9663
Loss type: cross_entropy | Epoch 7/10 | Train Loss: 0.0972 | Val Loss: 0.1062 | Val Acc: 0.9693
Loss type: cross_entropy | Epoch 8/10 | Train Loss: 0.0847 | Val Loss: 0.1037 | Val Acc: 0.9698
Loss type: cross_entropy | Epoch 9/10 | Train Loss: 0.0761 | Val Loss: 0.0970 | Val Acc: 0.9720
Loss type: cross_entropy | Epoch 10/10 | Train Loss: 0.0681 | Val Loss: 0.0935 | Val Acc: 0.9718
